Element Code,Scientific Name,English Name,Biogeoclimatic Units,Provincial,BC List,Global,COSEWIC,SARA,Provincial FRPA,Land Use Objectives,CDC Mapped Locations - Public,CDC Mapped Locations - Confidential
PGCUP050C0,Juniperus scopulorum,Rocky Mountain juniper,,S4 (2019),Yellow,G5 (2016),,,,,,
PDERI0K052,Kalmia microphylla var. microphylla,alpine bog laurel,,S5 (2020),Yellow,G5T5 (2016),,,,,,
PDERI0K051,Kalmia microphylla var. occidentalis,western bog-laurel,,S5 (2020),Yellow,G5TNR,,,,,,
PDERI0Q010,Kalmia procumbens,alpine-azalea,,S5 (2019),Yellow,G5 (2016),,,,,,
NBMUS41020,Kiaeria falcata,,,S4 (2015),Yellow,G5 (1992),,,,,,
PDSCR0U010,Kickxia elatine,sharp-leaved fluellen,,SNA (2019),Exotic,GNR,,,,,,
NBMUS2U0C0,Kindbergia oregana,,,S5 (2015),Yellow,G5 (2017),,,,,,
NBMUS2U0B0,Kindbergia praelonga,,,S5 (2015),Yellow,G5 (1991),,,,,,
PDDIP03010,Knautia arvensis,field scabious,,SNA (2019),Exotic,GNR,,,,,,
PMCYP0F010,Kobresia myosuroides,Bellard's kobresia,,S5 (2019),Yellow,G5 (2016),,,,,,
PMCYP0F020,Kobresia sibirica,Siberian kobresia,BAFA,S3? (2019),Blue,G5 (2016),,,,,Y,
PMCYP0F030,Kobresia simpliciuscula,simple kobresia,,S4S5 (2019),Yellow,G5 (2016),,,,,,
PMPOA3G040,Koeleria macrantha,junegrass,,S5 (2019),Yellow,G5 (2016),,,,,,
PDPGN0D010,Koenigia islandica,Iceland koenigia,,S4 (2019),Yellow,G4 (2016),,,,,,
PDPGN0L1Z1,Koenigia polystachya,Himalayan knotweed,,SNA (2008),Exotic,GNRTNR,,,,,,
PDORO01010,Kopsiopsis hookeri,Vancouver groundcone,,S4S5 (2019),Yellow,G4G5 (2015),,,,,,
PDAST5D070,Krigia virginica,Virginia dwarf dandelion,,SNA (2019),Exotic,G5 (1984),,,,,,
NBHEP1Q040,Kurzia makinoana,,,SU (2021),Unknown,G2G4Q (2003),,,,,,
NBHEP1Q050,Kurzia pauciflora,,,S3 (2021),Blue,G5 (2016),,,,,,
NBHEP1Q030,Kurzia sylvatica,,,SU (2021),Unknown,G5 (1991),,,,,,
NBHEP1Q0A0,Kurzia trichoclados,,,S2S3 (2021),Blue,GNR,,,,,,
PDFAB50010,Laburnum anagyroides,laburnum,,SNA (2019),Exotic,GNR,,,,,,
PDAST5F010,Lactuca biennis,tall blue lettuce,,S5 (2019),Yellow,G5 (2016),,,,,,
PDAST5F020,Lactuca canadensis,Canadian wild lettuce,,SNA (2019),Exotic,G5 (2016),,,,,,
PDAST5F060,Lactuca ludoviciana,western lettuce,,SNA (2019),Exotic,G4G5 (1997),,,,,,
PDAST5F090,Lactuca serriola,prickly lettuce,,SNA (2019),Exotic,GNR,,,,,,
PDLAM0R020,Lamium amplexicaule,common dead-nettle,,SNA (2019),Exotic,GNR,,,,,,
PDLAM0Q010,Lamium galeobdolon,yellow archangel,,SNA (2019),Exotic,GNR,,,,,,
PDLAM0R061,Lamium hybridum,cut-leaved purple dead-nettle,,SNA (2000),Exotic,GNRTNR,,,,,,
PDBOR0K080,Lappula fremontii,Fremont's stickseed,,SU (2021),Unknown,GNR,,,,,Y,
PDBOR0K090,Lappula montana,montane stickseed,,S4S5 (2019),Yellow,GNR,,,,,,
PDBOR0K062,Lappula occidentalis var. occidentalis,western stickseed,,S5 (2000),Yellow,G5T5 (2016),,,,,,
PDBOR0K063,Lappula occidentalis var. stricta,western stickseed,BGxh; ICHmk,S1 (2021),Red,G5TNR,,,,,Y,Y
PDBOR0K050,Lappula squarrosa,bristly stickseed,,SNA (2019),Exotic,GNR (1993),,,,,,
PDAST5K020,Lapsana communis,nipplewort,,SNA (2019),Exotic,GNR,,,,,,
PGPIN02020,Larix laricina,tamarack,,S5 (2019),Yellow,G5 (2016),,,,,,
PGPIN02030,Larix lyallii,subalpine larch,,S5 (2019),Yellow,G5 (2016),,,,,,
PGPIN02040,Larix occidentalis,western larch,,S5 (2019),Yellow,G5 (2016),,,,,,
PDAST5L090,Lasthenia glaberrima,rayless goldfields,CWHmm,SX (2019),Red,G5 (1990),E,1-E (2010),,,Y,
PDAST5L0G0,Lasthenia maritima,hairy goldfields,CWHvh,S3 (2019),Blue,G4 (1998),,,,,Y,
