mounting number,specimen?,match description?,entry_notes,collection number,LabelQty ,Genus,Qualifier,Species,Species Author,Subspecies,Subspecies Author,Variety,Variety Author,Forma,Forma Author,Cultivar,Country,ProvinceState,Location,VLatDegree,VLatMinute,VLatSecond,VLongDegree,VLongMinute,VLongSecond,UTM,Grid Reference,VDatum,VCoordinateUncertainty,Habitat,Altitude,Date Collected,Primary Collector,Other Collectors,Collector Number,Determined By,Determination Date,Field Notes,Original Herbarium,Research Annotation,Citations,Genbank,BOLD Number,Georeference Notes,Extra Notes
,Y,Y,,2949,1,Sidalcea ,,hendersonii,,,,,,,,,Canada,British Columbia,"Cowichan, Cowichan River along Khenipsen Road",,,,,,,10U 453017 5401830,,,,"High salt marsh; Growing with Lathyrus palustris, Junus bufonius, Triglochin maritima, Lonicera involucrata, Rumex sp, Rosa nutkana, Sonchus arvensis, Argentina Pacifica, Glyceria grandis",6 m ,2003 06 13,Harvey Janszen,,2949,,,"approx 5000 Sidalcea; area over 4-5 hectares visible; Lathyus 500 plus probably underestimate; slope flat, aspect all; page 192 HJ9",,,,,,,
,Y,Y,,2950,1,Lathyrus ,,sp,,,,,,,,,Canada,British Columbia,"Cowichan, Cowichan River along Khenipsen Road",,,,,,,10U 453017 5401830,,,,"High salt marsh; Growing with Sidalcea hendersonii, Junus bufonius, Triglochin maritima, Lonicera involucrata, Rumex sp, Rosa nutkana, Sonchus arvensis, Argentina Pacifica, Glyceria grandis",6 m ,2003 06 13,Harvey Janszen,,2950,,,"500 plus probably underestimate; slope flat, aspect all; area over 4-5 hectares visible; page 193 HJ9",,,,,,,potentially Lathysus palustris since listed as a associate for this set of collections but not for this collection specifically
,Y,Y,,2951,1,Rumex,,sp,,,,,,,,,Canada,British Columbia,"Cowichan, top slope of Mount Tzouhalem",,,,,,,,,,,,,2003 06 13,Harvey Janszen,,2951,,,page 193 HJ9,,,,,,,
,Y,Y,,2952,1,Yabea,,microcarpa,,,,,,,,,Canada,British Columbia,"Cowichan, Cowichan River along Khenipsen Road",,,,,,,10U 453793 5401808,,,,"Mixed Quuercus garryana, Pseudotsuga menziesii, Berberis aquifolium grove; Growing with Lonicera hispidula, Holodiscus discolor, Galium aparine, Melica subulata, Dactylis glomerata, Bromus sterilis, Symphoricarpos albus, Cynosurus echinatus, Sanicula crassicaulis, Erythronium oregonum, Cytisus scoparius",30 m ,2003 06 13,Harvey Janszen,,2952,,,"30 plants in approx 2 m circle; searched area of whole grove approx 100 by 200 m, no more found slightly down hill; slope 30 percent, aspect 220 degrees; page 193 HJ9",,,,,,,could not decipher some associated species 
,Y,Y,,2953,1,Triteleia,,grandiflora,,,,,,,,,Canada,British Columbia,"Cowichan, Cowichan River along Khenipsen Road",,,,,,,10U 453775 5401758,,,,"Growing with Quercus garryana, Symphoricarpos albus, Galium aparine, Melica subulata, Triteleia hyacinthin, Allium acuminatum, Vicia sativa, Rosa gymnocarpa, Elymus glaucus, Nemophila parviflora
 ",25 m ,2003 06 13,Harvey Janszen,,2953,,,"6 plants; collection and photo; slope 5 percent, aspect 220 degrees; page 194 HJ9",,,,,,,updated taxon name from verbatim Brodiaea howellii; could not decipher some associated species 
,Y,Y,,2954,1,Yabea,,microcarpa,,,,,,,,,Canada,British Columbia,Saturna Island,,,,,,,10U 486624  5402481,,,,"Open grassy slope with small number of Quercus garryana above; Growing with Bromus sitchensis, Bromus sterilis, Bromus hordeaceus, Bromus sitchensis, Geranium molle, Galium aparine, Cynosurus cristatus, Stellaria media, Osmorhiza berteroi, Sinapis arvensis, Plectritis congesta, Holcus lanatus, Veronica arvensis, Trifolium microcephalum",243 m ,2003 06 15,Harvey Janszen,,2954,,,"approx 2000 plys plants in area 20 by 60 m mostly along soil below rock outcrop; slope approx 80 percent, aspect 260 degrees; page 195 HJ9",,,,,,,could not decipher some associated species 
,Y,Y,,2955,1,Agoseris,?,glauca,,,,,,,,,Canada,British Columbia,Galiano Island,,,,,,,10U 475743 5412250,,,,"On steep conglomerate cliff; Open Fd-Qg woodland; Growing with Bromus sterilis, Festuca bromoides, Cynosurus cristatus, Allium amplectens, Cerastium arvense, Elymus glaucus, Epilobium parviflorum",110 m ,2003 06 18,Harvey Janszen,,2955,,,"several plants flowering; no seeds seen; slope 80 percent, aspect 225 degrees; page 196 HJ9",,,,,,,specific epithet has question mark 
,Y,Y,,2956,1,Microseris,,sp,,,,,,,,,Canada,British Columbia,Galiano Island,,,,,,,10U 475844 5412141,,,,"Cliff top under dead Fd; Growing with Bromus sterilis, Cytisus scoparius, Quercus garryana, Cynosurus cristatus, Lonicera hispidula, Elymus glaucus, Trifolium willdenovii, Silene coronaria, Galium aparine, Lomatium utriculatum ",24 m ,2003 06 18,Harvey Janszen,,2956,,,seed collection only and photos; 2 by 5 m area lower 91 plants; Fd dead; additional 28 pltans 1 by 1 meter same 25 m E along cliff tops; page 197 HJ9,,,,,,,
,Y,Y,,2957,1,Yabea,,microcarpa,,,,,,,,,Canada,British Columbia,Saltspring Island,,,,,,,10U 460447 5406543,,,,Oak woodlands; Limited to greener grass mostly close to oaks or rocks,320 m ,2003 06 19,Harvey Janszen,,2957,,,scattered in clumps of 5 to 10 through woodlands NE; page 200 HJ9,,,,,,,
,Y,Y,,2958,1,Danthonia,,[intermedia]?,,,,,,,,,Canada,British Columbia,"Saltspring Island, Reginald Hill summit",,,,,,,10U 468179 5401358,,,,"Open grasslands in Fd to Arbutus woodland; Growing with Carex inops, Hypochaeris radicata, Aira caryophyllea, Anthoxanthum odoratum",220 m ,2003 06 20,Harvey Janszen,,2958,,,page 202 HJ9,,,,,,,
,,,,2959,1,Yabea,,microcarpa,,,,,,,,,Canada,British Columbia,"Saltspring Island, Reginald Hill",,,,,,,10U 46271 5401151,,,,"Qg to Fd woodland in open and grassy area; Growing with Cynosurus cristatus, Elymus glaucus, Rumex, Sanicula crassicaulis, Vicia sativa, Galium aparine, Dactylis glomerata, Quercus garryana, Poa pratensis, Pseudotsuga menziesii",120 m ,2003 06 20,Harvey Janszen,,2959,,,"4 plants; 15 m down slope under Quercus garryana another 10 plants; slope 20 percent, aspect 195 degrees; page 202 HJ9",,,,,,,
,Y,Y,,2960,1,Dichanthelium,,scribnerianum ,,,,,,,,,Canada,British Columbia,"Saltspring Island, Reginald Hill",,,,,,,10U 468299 5401012,,,,"Qg and Fd area; Growing with Quercus garryana, Allium aplectens, Elymus glaucus, Sanicula crassicaulis, Vicia sativa, Galium aparine, Dactylis glomerata, Poa pratensis",130 m ,2003 06 20,Harvey Janszen,,2960,,,page 203 HJ9,,,,,,,updated taxon name from verbatim Panicum oligosanthes
,Y,Y,could not decipher some associated species,2961,1,Yabea ,,microcarpa ,,,,,,,,,Canada,British Columbia,"Galiano Island, Mount Sutil",,,,,,,10U 472088 5413215,,,,"Qg and Fd area; Partial canopy; Growing with Quercus garryana, Bromus sterilis, Cerastium arvense, Vulpia bromoides, Veronica arvensis, Lotus, Galium aparine, Selaginella wallacei, Erythranthe guttata, Epilobium minutum, Torilis japonica",168 m ,2003 07 30,Harvey Janszen,,2961,,,"18 plants; slope 70 percent, aspect 260 degrees, canopy 50 percent; page 205 HJ9",,,,,,,in collection in packet
,Y,Y,,2971,1,Galium ,,parisiense,,,,,,,,,,,,,,,,,,,,,,,,,,,2971,,,page 23 HJ 27 ,,,,,,,
,,,"some sort of grass. Does not fit description of 2961 being Yabea microcarpa, which has its own specimen - something wrong with number labelling",2961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
