"D","ScientificName","QualifiedScientificName","CommonName","Family","Genus","Species","SpeciesAuthority","Subspecies","SubspeciesAuthority","Variety","VarietyAuthority","Forma","FormaAuthority","Identifier","IDDate","IDNotes","CDC","MuseumCollection","Collector","CollectorsFieldNumber","CollectionDate","Prov_State","District","LocationName","LocationDescription","Latitude","Longitude","UTMZone","UTMNorthing","UTMEasting","Elevation","Park_ER_IR","HabitatRemarks","SpecimenNotes","SpeciesAbundance"
NA,"Sisyrinchium angustifolium",NA,NA,"Iridaceae","Sisyrinchium","angustifolium","Mill.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen Collection","Harvey Janszen","1979","1981-06-19","British Columbia","Southern Gulf Islands","North Pender Island","fen below magic lake",NA,NA,NA,NA,NA,NA,NA,"fen; with several rushes",NA,NA
NA,"Centaurea nigra",NA,NA,"Asteraceae","Centaurea","nigra","L.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen Collection","Harvey Janszen","1980","1981-06-19","British Columbia","Southern Gulf Islands","North Pender Island","fen below magic lake",NA,NA,NA,NA,NA,NA,NA,"fen; with several rushes",NA,NA
NA,"Carex oederi",NA,NA,"Cyperaceae","Carex","oederi","Retz.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen Collection","Harvey Janszen","1981","1981-06-19","British Columbia","Southern Gulf Islands","North Pender Island","fen below magic lake",NA,NA,NA,NA,NA,NA,NA,"fen; with several rushes",NA,NA
NA,"Pinus contorta",NA,NA,"Pinaceae","Pinus","contorta","Douglas ex Loudon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen Collection","Harvey Janszen","1982","1981-06-19","British Columbia","Southern Gulf Islands","North Pender Island","fen below magic lake",NA,NA,NA,NA,NA,NA,NA,"fen; with several rushes",NA,NA
NA,"Populus balsamifera",NA,NA,"Salicaceae","Populus","balsamifera","L.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen Collection","Harvey Janszen","1983","1981-06-19","British Columbia","Southern Gulf Islands","North Pender Island","fen below magic lake",NA,NA,NA,NA,NA,NA,NA,"fen; with several rushes",NA,NA
NA,"Sisyrinchium altissimum",NA,NA,"Iridaceae","Sisyrinchium","palmifolium",NA,"palmifolium",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen Collection","Harvey Janszen","1984","1981-06-19","British Columbia","Southern Gulf Islands","North Pender Island","fen below magic lake",NA,NA,NA,NA,NA,NA,NA,"fen; with several rushes",NA,NA
NA,"Orobanche californicum",NA,NA,"Orobanchaceae","Aphyllon","californica","Cham. & Schltdl.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen Collection","Harvey Janszen","1985","1981-06-23","British Columbia","Southern Gulf Islands","North Pender Island; Otter Bay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Polygonum spergulariiforme douglasii",NA,NA,"Polygonaceae","Polygonum","spergulariiforme","Meisn. ex Small",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen Collection","Harvey Janszen","1986","1981-06-23","British Columbia","Southern Gulf Islands","North Pender Island; Otter Bay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Leontodon nudicaulis",NA,NA,"Asteraceae","Thrincia","saxatilis",NA,NA,NA,"saxatilis",NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen Collection","Harvey Janszen","1987","1981-07-07","British Columbia","Southern Gulf Islands","Galiano Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Bromus sitchensis sitchensis",NA,NA,"Poaceae","Bromus","sitchensis",NA,NA,NA,"sitchensis",NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen Collection","Harvey Janszen","1988","1981-07-07","British Columbia","Southern Gulf Islands","Galiano Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Cerastium vulgatum",NA,NA,"Caryophyllaceae","Cerastium","fontanum","Baumg.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen Collection","Harvey Janszen","1989","1981-07-07","British Columbia","Southern Gulf Islands","Galiano Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Trifolium procumbens",NA,NA,"Fabaceae","Trifolium","campestre","Schreb.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen Collection","Harvey Janszen","1989A","1981-07-07","British Columbia","Southern Gulf Islands","Galiano Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Lotus denticulatus",NA,NA,"Fabaceae","Acmispon","denticulatus","(Drew) D.D.Sokoloff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen Collection","Harvey Janszen","1990","1981-07-07","British Columbia","Southern Gulf Islands","Galiano Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Puccinellia nutkaensis",NA,NA,"Poaceae","Puccinellia","nutkaensis","(J.Presl) Fernald & Weath.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen Collection","Harvey Janszen","1991","1981-07-07","British Columbia","Southern Gulf Islands","Galiano Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Elymus mollis",NA,NA,"Poaceae","Leymus",NA,"Hochst.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen Collection","Harvey Janszen","1992","1981-07-07","British Columbia","Southern Gulf Islands","Galiano Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,"glamo crossed out",NA
NA,"Sonchus oleraceus",NA,NA,"Asteraceae","Sonchus","oleraceus","L.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen Collection","Harvey Janszen","1993","1981-07-07","British Columbia","Southern Gulf Islands","Galiano Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Polypogon monspeliensis",NA,NA,"Poaceae","Polypogon","monspeliensis","(L.) Desf.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen Collection","Harvey Janszen","1994","1981-07-07","British Columbia","Southern Gulf Islands","Galiano Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Barbarea orthoceras",NA,NA,"Brassicaceae","Barbarea","orthoceras","Ledeb.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen Collection","Harvey Janszen","1995","1981-07-07","British Columbia","Southern Gulf Islands","Galiano Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Bromus pacificus",NA,NA,"Poaceae","Bromus","pacificus","Shear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen Collection","Harvey Janszen","1996","1981-07-07","British Columbia","Southern Gulf Islands","Galiano Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Festuca subuliflora crossed out",NA
NA,"Festuca subuliflora",NA,NA,"Poaceae","Festuca","subuliflora","Scribn.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen Collection","Harvey Janszen","1997","1981-07-07","British Columbia","Southern Gulf Islands","Galiano Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Trisetum cerinum crossed out",NA
NA,"Brodia coronaria",NA,NA,"Asparagaceae","Brodiaea","coronaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen Collection","Harvey Janszen","1998","1981-07-07","British Columbia","Southern Gulf Islands","Galiano Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Triteleia hyacinthina",NA,NA,"Asparagaceae","Triteleia","hyacinthina","(Lindl.) Greene",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen Collection","Harvey Janszen","1999","1981-07-07","British Columbia","Southern Gulf Islands","Galiano Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Sherardia arvensis",NA,NA,"Rubiaceae","Sherardia","arvensis","L.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen Collection","Harvey Janszen","2000","1981-07-07","British Columbia","Southern Gulf Islands","Galiano Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
